crop,tkw_low_g_per_1000,tkw_high_g_per_1000,seeding_rate_low_seeds_per_ha_direct,seeding_rate_high_seeds_per_ha_direct,seeding_rate_low_kg_per_ha_low_tkw,seeding_rate_low_kg_per_ha_high_tkw,seeding_rate_high_kg_per_ha_low_tkw,seeding_rate_high_kg_per_ha_high_tkw,seeds_per_ha_low,seeds_per_ha_high,seeds_per_ha_low_basis,seeds_per_ha_high_basis,spring_seeded,fall_seeded,broadcast_seeded,drill_seeded,precision_planted,source,status
Borage,19.0,19.0,,,17.0,17.0,17.0,17.0,894736.8421052633,894736.8421052633,CONVERTED_FROM_MASS,CONVERTED_FROM_MASS,TRUE,FALSE,FALSE,TRUE,FALSE,PMRA 2015,ASSESSMENT_DEFAULT
Broccoli,2.9,4.55,23920.0,521009.0,0.06936800000000001,0.108836,1.5109260999999998,2.37059095,23920.0,521009.0,DIRECT,DIRECT,TRUE,FALSE,FALSE,TRUE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Broccoli, chinese",2.9,4.55,107639.0,1722226.0,0.3121531,0.4897574499999999,4.9944554,7.8361283,107639.0,1722226.0,DIRECT,DIRECT,TRUE,FALSE,FALSE,TRUE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Broccoli, leaf",2.9,4.55,430556.0,3571000.0,1.2486124,1.9590297999999997,10.3559,16.24805,430556.0,3571000.0,DIRECT,DIRECT,TRUE,FALSE,FALSE,TRUE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Broccoli, raab",0.86,2.26,322917.0,861113.0,0.27770862,0.7297924199999999,0.74055718,1.94611538,322917.0,861113.0,DIRECT,DIRECT,TRUE,FALSE,FALSE,TRUE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
Buckwheat,29.0,37.3,,,20.0,20.0,90.0,90.0,536193.0294906166,3103448.275862069,CONVERTED_FROM_MASS,CONVERTED_FROM_MASS,TRUE,FALSE,TRUE,TRUE,FALSE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
Cabbage,3.13,5.3,17940.0,242188.0,0.0561522,0.09508200000000001,0.7580484399999999,1.2835964,17940.0,242188.0,DIRECT,DIRECT,TRUE,FALSE,FALSE,TRUE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Cabbage, chinese",1.33,4.0,32292.0,287038.0,0.04294836,0.129168,0.38176054000000004,1.148152,32292.0,287038.0,DIRECT,DIRECT,TRUE,FALSE,FALSE,TRUE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Canola, Argentine, broadcast seeding",2.5,7.5,,,3.2,3.2,10.0,10.0,426666.6666666667,4000000.0,CONVERTED_FROM_MASS,CONVERTED_FROM_MASS,FALSE,FALSE,TRUE,FALSE,FALSE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Canola, Argentine, standard planting",2.5,7.5,,,2.2,2.2,9.0,9.0,293333.3333333334,3600000.0,CONVERTED_FROM_MASS,CONVERTED_FROM_MASS,TRUE,TRUE,FALSE,TRUE,FALSE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
